Temps;EA1{3}
0;9.69103327440098
0.0001;9.61124705569819
0.0002;8.85826461669058
0.0003;7.21766049461439
0.0004;4.89887351356447
0.0005;2.17118216166273
0.0006;-0.676188518293202
0.0007;-3.32908029016107
0.0008;-5.54314785916358
0.0009;-7.07903256919235
0.001;-7.82204173086211
0.0011;-7.70734904147685
0.0012;-6.78980752639473
0.0013;-5.20405642967671
0.0014;-3.14457465941086
0.0015;-0.850720871705562
0.0016;1.44313291599974
0.0017;3.50261468626559
0.0018;5.1083123376593
0.0019;6.12558662611991
0.002;6.45470477826893
0.0021;6.09566679410636
0.0022;5.1083123376593
0.0023;3.63226729165763
0.0024;1.85203728685156
0.0025;-0.0428854073397815
0.0026;-1.8530352441594
0.0027;-3.39889323152602
0.0028;-4.52088693203405
0.0029;-5.12427021097392
0.003;-5.15917668165639
0.0031;-4.63557962141931
0.0032;-3.64822516497225
0.0033;-2.32676591770723
0.0034;-0.81581440102309
0.0035;0.720070309005678
0.0036;2.11632913630456
0.0037;3.23333619814366
0.0038;3.96138544380665
0.0039;4.24562384793535
0.004;4.06610485585406
0.0041;3.45773493824527
0.0042;2.50030031381175
0.0043;1.3533734199591
0.0044;0.106713752727956
0.0045;-1.09506616648287
0.0046;-2.13228700961918
0.0047;-2.89025608729571
0.0048;-3.3141203741543
0.0049;-3.36398676084354
0.005;-3.03985524736345
0.0051;-2.40655213641003
0.0052;-1.53887700801715
0.0053;-0.551522551570088
0.0054;0.450791820883751
0.0055;1.36833333596587
0.0056;2.09638258162886
0.0057;2.58008653251454
0.0058;2.75960552459583
0.0059;2.62995291920379
0.006;2.2260351870209
0.0061;1.60270535340533
0.0062;0.829776359722018
0.0063;0.0169542566873133
0.0064;-0.755974736995995
0.0065;-1.41919767996296
0.0066;-1.8929283535108
0.0067;-2.14226028695703
0.0068;-2.14724692562595
0.0069;-1.9128749081865
0.007;-1.47405070532113
0.0071;-0.890613981056958
0.0072;-0.242350954096764
0.0073;0.410898711532354
0.0074;0.989348797127604
0.0075;1.43315963866189
0.0076;1.70243812678382
0.0077;1.78222434548661
0.0078;1.65257174009457
0.0079;1.35836005862802
0.008;0.91953585576266
0.0081;0.40591207286343
0.0082;-0.122671626042575
0.0083;-0.611362215597182
0.0084;-1.01029330911115
0.0085;-1.27458515856415
0.0086;-1.38429120928049
0.0087;-1.33442482259125
0.0088;-1.13495927583426
0.0089;-0.810827762354165
0.009;-0.416883307509124
0.0091;0.0119676180183887
0.0092;0.425858627539128
0.0093;0.769936695694923
0.0094;1.01926862914115
0.0095;1.14393459586427
0.0096;1.12897467985749
0.0097;0.999322074465454
0.0098;0.759963418357074
0.0099;0.450791820883751
0.01;0.101727114059031
0.0101;-0.242350954096764
0.0102;-0.531575996894389
0.0103;-0.755974736995995
0.0104;-0.875654065050185
0.0105;-0.890613981056958
0.0106;-0.800854485016316
0.0107;-0.621335492935032
0.0108;-0.376990198157728
0.0109;-0.102725071366876
0.011;0.181513332761824
0.0111;0.425858627539128
0.0112;0.620337535627186
0.0113;0.740016863681376
0.0114;0.764950057025999
0.0115;0.700123754329979
0.0116;0.565484510269016
0.0117;0.380978879518807
0.0118;0.151593500748277
0.0119;-0.0678186006844044
0.012;-0.282244063448161
0.0121;-0.451789778191596
0.0122;-0.551522551570088
0.0123;-0.576455744914711
0.0124;-0.546535912901163
0.0125;-0.436829862184823
0.0126;-0.287230702117085
0.0127;-0.107711710035801
0.0128;0.0817805593833327
0.0129;0.261299551464617
0.013;0.400925434194505
0.0131;0.490684930235147
0.0132;0.530578039586544
0.0133;0.500658207572997
0.0134;0.420871988870204
0.0135;0.301192660816014
0.0136;0.146606862079352
0.0137;-0.00797893665730953
0.0138;-0.162564735393971
0.0139;-0.277257424779236
0.014;-0.362030282150954
0.0141;-0.391950114164501
0.0142;-0.381976836826652
0.0143;-0.312163895461708
0.0144;-0.212431122083217
0.0145;-0.0927517940290272
0.0146;0.0369008113630116
0.0147;0.16655341675505
0.0148;0.266286190133542
0.0149;0.336099131498486
0.015;0.366018963512033
0.0151;0.361032324843109
0.0152;0.311165938153863
0.0153;0.23137971945107
0.0154;0.131646946072578
0.0155;0.0219408953562379
0.0156;-0.0877651553601027
0.0157;-0.177524651400745
0.0158;-0.23736431542784
0.0159;-0.262297508772463
0.016;-0.257310870103538
0.0161;-0.217417760752141
0.0162;-0.152591458056122
0.0163;-0.0728052393533289
0.0164;0.0219408953562379
0.0165;0.11170039139688
0.0166;0.186499971430749
0.0167;0.236366358119994
0.0168;0.266286190133542
0.0169;0.261299551464617
0.017;0.226393080782145
0.0171;0.1765266940929
0.0172;0.106713752727956
0.0173;0.0269275340251625
0.0174;-0.0428854073397815
0.0175;-0.112698348704726
0.0176;-0.152591458056122
0.0177;-0.182511290069669
0.0178;-0.17253801273182
0.0179;-0.147604819387198
0.018;-0.102725071366876
0.0181;-0.0478720460087061
0.0182;0.0169542566873133
0.0183;0.0767939207144082
0.0184;0.131646946072578
0.0185;0.16655341675505
0.0186;0.191486610099673
0.0187;0.186499971430749
0.0188;0.16655341675505
0.0189;0.131646946072578
0.019;0.0817805593833327
0.0191;0.0269275340251625
0.0192;-0.0229388526640832
0.0193;-0.0628319620154798
0.0194;-0.0977384326979518
0.0195;-0.11768498737365
0.0196;-0.11768498737365
0.0197;-0.0977384326979518
0.0198;-0.0678186006844044
0.0199;-0.0329121300019324
